from_node,to_node,from_time,to_time,arc_capacity
490,557,17,19,20.000000
490,557,18,20,20.000000
490,557,20,22,20.000000
490,557,21,23,20.000000
490,557,22,24,20.000000
490,557,23,25,20.000000
490,557,24,26,20.000000
490,557,25,27,20.000000
490,557,27,29,20.000000
490,557,28,30,20.000000
490,557,29,31,20.000000
490,557,3,5,20.000000
490,557,30,32,20.000000
490,557,34,36,20.000000
490,557,35,37,20.000000
490,557,36,38,20.000000
490,557,38,40,20.000000
490,557,41,43,20.000000
491,490,22,24,20.000000
491,492,26,29,20.000000
491,558,10,12,20.000000
491,558,16,18,20.000000
491,558,18,20,20.000000
491,558,2,4,20.000000
491,558,21,23,20.000000
491,558,24,26,20.000000
491,558,27,29,20.000000
491,558,28,30,20.000000
491,558,33,35,20.000000
491,558,35,37,20.000000
491,558,36,38,20.000000
491,558,4,6,20.000000
491,559,3,4,20.000000
491,559,5,6,20.000000
492,492,3,4,20.000000
492,492,34,35,20.000000
492,493,14,15,20.000000
492,493,29,30,20.000000
492,493,35,36,20.000000
492,493,4,5,20.000000
492,561,10,12,20.000000
492,561,11,13,20.000000
492,561,14,16,20.000000
492,561,15,17,20.000000
492,561,16,18,20.000000
492,561,17,19,20.000000
492,561,18,20,20.000000
492,561,26,28,20.000000
492,561,28,30,20.000000
492,561,29,31,20.000000
492,561,31,33,20.000000
492,562,19,20,20.000000
492,562,27,28,20.000000
492,562,35,36,20.000000
493,492,13,14,20.000000
493,492,14,15,20.000000
493,492,15,16,20.000000
493,492,16,17,20.000000
493,492,17,18,20.000000
493,492,18,19,20.000000
493,492,25,26,20.000000
493,492,27,28,20.000000
493,492,28,29,20.000000
493,492,30,31,20.000000
493,492,33,34,20.000000
493,492,34,35,20.000000
493,493,31,32,20.000000
493,493,36,37,20.000000
493,494,11,13,20.000000
493,494,12,14,20.000000
493,494,13,15,20.000000
493,494,15,17,20.000000
493,494,17,19,20.000000
493,494,18,20,20.000000
493,494,19,21,20.000000
493,494,20,22,20.000000
493,494,21,23,20.000000
493,494,22,24,20.000000
493,494,23,25,20.000000
493,494,27,29,20.000000
493,494,30,32,20.000000
493,494,31,33,20.000000
493,494,32,34,20.000000
493,494,33,35,20.000000
493,494,34,36,20.000000
493,494,35,37,20.000000
493,494,36,38,20.000000
493,494,37,39,20.000000
493,494,38,40,20.000000
493,494,40,42,20.000000
493,494,41,43,20.000000
493,494,42,44,20.000000
493,562,20,21,20.000000
493,562,22,23,20.000000
493,562,24,25,20.000000
493,562,26,27,20.000000
493,562,29,30,20.000000
493,562,30,31,20.000000
493,562,4,5,20.000000
493,564,15,17,20.000000
493,564,5,7,20.000000
494,493,38,40,20.000000
494,493,39,41,20.000000
494,493,40,42,20.000000
494,495,13,16,20.000000
494,495,14,17,20.000000
494,495,15,18,20.000000
494,495,17,20,20.000000
494,495,18,21,20.000000
494,495,19,22,20.000000
494,495,20,23,20.000000
494,495,21,24,20.000000
494,495,22,25,20.000000
